image_filenames,label_filenames
patient019/patient019_ES_resamp.nii.gz,patient019/patient019_ES_resamp_gt.nii.gz
patient019/patient019_ED_resamp.nii.gz,patient019/patient019_ED_resamp_gt.nii.gz
patient076/patient076_ES_resamp.nii.gz,patient076/patient076_ES_resamp_gt.nii.gz
patient076/patient076_ED_resamp.nii.gz,patient076/patient076_ED_resamp_gt.nii.gz
patient093/patient093_ES_resamp.nii.gz,patient093/patient093_ES_resamp_gt.nii.gz
patient093/patient093_ED_resamp.nii.gz,patient093/patient093_ED_resamp_gt.nii.gz
patient056/patient056_ES_resamp.nii.gz,patient056/patient056_ES_resamp_gt.nii.gz
patient056/patient056_ED_resamp.nii.gz,patient056/patient056_ED_resamp_gt.nii.gz
patient087/patient087_ES_resamp.nii.gz,patient087/patient087_ES_resamp_gt.nii.gz
patient087/patient087_ED_resamp.nii.gz,patient087/patient087_ED_resamp_gt.nii.gz
patient041/patient041_ES_resamp.nii.gz,patient041/patient041_ES_resamp_gt.nii.gz
patient041/patient041_ED_resamp.nii.gz,patient041/patient041_ED_resamp_gt.nii.gz
patient027/patient027_ES_resamp.nii.gz,patient027/patient027_ES_resamp_gt.nii.gz
patient027/patient027_ED_resamp.nii.gz,patient027/patient027_ED_resamp_gt.nii.gz
patient005/patient005_ES_resamp.nii.gz,patient005/patient005_ES_resamp_gt.nii.gz
patient005/patient005_ED_resamp.nii.gz,patient005/patient005_ED_resamp_gt.nii.gz
patient053/patient053_ES_resamp.nii.gz,patient053/patient053_ES_resamp_gt.nii.gz
patient053/patient053_ED_resamp.nii.gz,patient053/patient053_ED_resamp_gt.nii.gz
patient099/patient099_ES_resamp.nii.gz,patient099/patient099_ES_resamp_gt.nii.gz
patient099/patient099_ED_resamp.nii.gz,patient099/patient099_ED_resamp_gt.nii.gz
patient030/patient030_ES_resamp.nii.gz,patient030/patient030_ES_resamp_gt.nii.gz
patient030/patient030_ED_resamp.nii.gz,patient030/patient030_ED_resamp_gt.nii.gz
patient025/patient025_ES_resamp.nii.gz,patient025/patient025_ES_resamp_gt.nii.gz
patient025/patient025_ED_resamp.nii.gz,patient025/patient025_ED_resamp_gt.nii.gz
patient062/patient062_ES_resamp.nii.gz,patient062/patient062_ES_resamp_gt.nii.gz
patient062/patient062_ED_resamp.nii.gz,patient062/patient062_ED_resamp_gt.nii.gz
patient054/patient054_ES_resamp.nii.gz,patient054/patient054_ES_resamp_gt.nii.gz
patient054/patient054_ED_resamp.nii.gz,patient054/patient054_ED_resamp_gt.nii.gz
patient079/patient079_ES_resamp.nii.gz,patient079/patient079_ES_resamp_gt.nii.gz
patient079/patient079_ED_resamp.nii.gz,patient079/patient079_ED_resamp_gt.nii.gz
patient009/patient009_ES_resamp.nii.gz,patient009/patient009_ES_resamp_gt.nii.gz
patient009/patient009_ED_resamp.nii.gz,patient009/patient009_ED_resamp_gt.nii.gz
patient034/patient034_ES_resamp.nii.gz,patient034/patient034_ES_resamp_gt.nii.gz
patient034/patient034_ED_resamp.nii.gz,patient034/patient034_ED_resamp_gt.nii.gz
patient031/patient031_ES_resamp.nii.gz,patient031/patient031_ES_resamp_gt.nii.gz
patient031/patient031_ED_resamp.nii.gz,patient031/patient031_ED_resamp_gt.nii.gz
patient039/patient039_ES_resamp.nii.gz,patient039/patient039_ES_resamp_gt.nii.gz
patient039/patient039_ED_resamp.nii.gz,patient039/patient039_ED_resamp_gt.nii.gz
patient016/patient016_ES_resamp.nii.gz,patient016/patient016_ES_resamp_gt.nii.gz
patient016/patient016_ED_resamp.nii.gz,patient016/patient016_ED_resamp_gt.nii.gz
patient044/patient044_ES_resamp.nii.gz,patient044/patient044_ES_resamp_gt.nii.gz
patient044/patient044_ED_resamp.nii.gz,patient044/patient044_ED_resamp_gt.nii.gz
patient047/patient047_ES_resamp.nii.gz,patient047/patient047_ES_resamp_gt.nii.gz
patient047/patient047_ED_resamp.nii.gz,patient047/patient047_ED_resamp_gt.nii.gz
patient003/patient003_ES_resamp.nii.gz,patient003/patient003_ES_resamp_gt.nii.gz
patient003/patient003_ED_resamp.nii.gz,patient003/patient003_ED_resamp_gt.nii.gz
patient017/patient017_ES_resamp.nii.gz,patient017/patient017_ES_resamp_gt.nii.gz
patient017/patient017_ED_resamp.nii.gz,patient017/patient017_ED_resamp_gt.nii.gz
patient045/patient045_ES_resamp.nii.gz,patient045/patient045_ES_resamp_gt.nii.gz
