image_filenames,label_filenames
patient40/patient40_ES.nii.gz,patient40/patient40_ES_gt.nii.gz
patient40/patient40_ED.nii.gz,patient40/patient40_ED_gt.nii.gz
patient26/patient26_ES.nii.gz,patient26/patient26_ES_gt.nii.gz
patient26/patient26_ED.nii.gz,patient26/patient26_ED_gt.nii.gz
patient27/patient27_ES.nii.gz,patient27/patient27_ES_gt.nii.gz
patient27/patient27_ED.nii.gz,patient27/patient27_ED_gt.nii.gz
patient44/patient44_ES.nii.gz,patient44/patient44_ES_gt.nii.gz
patient44/patient44_ED.nii.gz,patient44/patient44_ED_gt.nii.gz
patient36/patient36_ES.nii.gz,patient36/patient36_ES_gt.nii.gz
patient36/patient36_ED.nii.gz,patient36/patient36_ED_gt.nii.gz
patient42/patient42_ES.nii.gz,patient42/patient42_ES_gt.nii.gz
patient42/patient42_ED.nii.gz,patient42/patient42_ED_gt.nii.gz
patient05/patient05_ES.nii.gz,patient05/patient05_ES_gt.nii.gz
patient05/patient05_ED.nii.gz,patient05/patient05_ED_gt.nii.gz
patient13/patient13_ES.nii.gz,patient13/patient13_ES_gt.nii.gz
patient13/patient13_ED.nii.gz,patient13/patient13_ED_gt.nii.gz
patient09/patient09_ES.nii.gz,patient09/patient09_ES_gt.nii.gz
patient09/patient09_ED.nii.gz,patient09/patient09_ED_gt.nii.gz
patient04/patient04_ES.nii.gz,patient04/patient04_ES_gt.nii.gz
patient04/patient04_ED.nii.gz,patient04/patient04_ED_gt.nii.gz
patient07/patient07_ES.nii.gz,patient07/patient07_ES_gt.nii.gz
patient07/patient07_ED.nii.gz,patient07/patient07_ED_gt.nii.gz
patient25/patient25_ES.nii.gz,patient25/patient25_ES_gt.nii.gz
patient25/patient25_ED.nii.gz,patient25/patient25_ED_gt.nii.gz
patient33/patient33_ES.nii.gz,patient33/patient33_ES_gt.nii.gz
patient33/patient33_ED.nii.gz,patient33/patient33_ED_gt.nii.gz
patient20/patient20_ES.nii.gz,patient20/patient20_ES_gt.nii.gz
patient20/patient20_ED.nii.gz,patient20/patient20_ED_gt.nii.gz
patient18/patient18_ES.nii.gz,patient18/patient18_ES_gt.nii.gz
patient18/patient18_ED.nii.gz,patient18/patient18_ED_gt.nii.gz
patient14/patient14_ES.nii.gz,patient14/patient14_ES_gt.nii.gz
patient14/patient14_ED.nii.gz,patient14/patient14_ED_gt.nii.gz
patient43/patient43_ES.nii.gz,patient43/patient43_ES_gt.nii.gz
patient43/patient43_ED.nii.gz,patient43/patient43_ED_gt.nii.gz
patient16/patient16_ES.nii.gz,patient16/patient16_ES_gt.nii.gz
patient16/patient16_ED.nii.gz,patient16/patient16_ED_gt.nii.gz
patient10/patient10_ES.nii.gz,patient10/patient10_ES_gt.nii.gz
patient10/patient10_ED.nii.gz,patient10/patient10_ED_gt.nii.gz
patient17/patient17_ES.nii.gz,patient17/patient17_ES_gt.nii.gz
patient17/patient17_ED.nii.gz,patient17/patient17_ED_gt.nii.gz
patient38/patient38_ES.nii.gz,patient38/patient38_ES_gt.nii.gz
patient38/patient38_ED.nii.gz,patient38/patient38_ED_gt.nii.gz
patient32/patient32_ES.nii.gz,patient32/patient32_ES_gt.nii.gz
patient32/patient32_ED.nii.gz,patient32/patient32_ED_gt.nii.gz
patient28/patient28_ES.nii.gz,patient28/patient28_ES_gt.nii.gz
patient28/patient28_ED.nii.gz,patient28/patient28_ED_gt.nii.gz
patient01/patient01_ES.nii.gz,patient01/patient01_ES_gt.nii.gz
patient01/patient01_ED.nii.gz,patient01/patient01_ED_gt.nii.gz
patient31/patient31_ES.nii.gz,patient31/patient31_ES_gt.nii.gz
patient31/patient31_ED.nii.gz,patient31/patient31_ED_gt.nii.gz
patient30/patient30_ES.nii.gz,patient30/patient30_ES_gt.nii.gz
patient30/patient30_ED.nii.gz,patient30/patient30_ED_gt.nii.gz
patient06/patient06_ES.nii.gz,patient06/patient06_ES_gt.nii.gz
patient06/patient06_ED.nii.gz,patient06/patient06_ED_gt.nii.gz
patient12/patient12_ES.nii.gz,patient12/patient12_ES_gt.nii.gz
patient12/patient12_ED.nii.gz,patient12/patient12_ED_gt.nii.gz
patient34/patient34_ES.nii.gz,patient34/patient34_ES_gt.nii.gz
patient34/patient34_ED.nii.gz,patient34/patient34_ED_gt.nii.gz
patient02/patient02_ES.nii.gz,patient02/patient02_ES_gt.nii.gz
patient02/patient02_ED.nii.gz,patient02/patient02_ED_gt.nii.gz
