image_filenames,label_filenames
001/001_LA_ED_resamp.nii.gz,001/001_LA_ED_resamp_gt.nii.gz
001/001_LA_ES_resamp.nii.gz,001/001_LA_ES_resamp_gt.nii.gz
002/002_LA_ED_resamp.nii.gz,002/002_LA_ED_resamp_gt.nii.gz
002/002_LA_ES_resamp.nii.gz,002/002_LA_ES_resamp_gt.nii.gz
003/003_LA_ED_resamp.nii.gz,003/003_LA_ED_resamp_gt.nii.gz
003/003_LA_ES_resamp.nii.gz,003/003_LA_ES_resamp_gt.nii.gz
004/004_LA_ED_resamp.nii.gz,004/004_LA_ED_resamp_gt.nii.gz
004/004_LA_ES_resamp.nii.gz,004/004_LA_ES_resamp_gt.nii.gz
005/005_LA_ED_resamp.nii.gz,005/005_LA_ED_resamp_gt.nii.gz
005/005_LA_ES_resamp.nii.gz,005/005_LA_ES_resamp_gt.nii.gz
006/006_LA_ED_resamp.nii.gz,006/006_LA_ED_resamp_gt.nii.gz
006/006_LA_ES_resamp.nii.gz,006/006_LA_ES_resamp_gt.nii.gz
007/007_LA_ED_resamp.nii.gz,007/007_LA_ED_resamp_gt.nii.gz
007/007_LA_ES_resamp.nii.gz,007/007_LA_ES_resamp_gt.nii.gz
008/008_LA_ED_resamp.nii.gz,008/008_LA_ED_resamp_gt.nii.gz
008/008_LA_ES_resamp.nii.gz,008/008_LA_ES_resamp_gt.nii.gz
009/009_LA_ED_resamp.nii.gz,009/009_LA_ED_resamp_gt.nii.gz
009/009_LA_ES_resamp.nii.gz,009/009_LA_ES_resamp_gt.nii.gz
010/010_LA_ED_resamp.nii.gz,010/010_LA_ED_resamp_gt.nii.gz
010/010_LA_ES_resamp.nii.gz,010/010_LA_ES_resamp_gt.nii.gz
011/011_LA_ED_resamp.nii.gz,011/011_LA_ED_resamp_gt.nii.gz
011/011_LA_ES_resamp.nii.gz,011/011_LA_ES_resamp_gt.nii.gz
012/012_LA_ED_resamp.nii.gz,012/012_LA_ED_resamp_gt.nii.gz
012/012_LA_ES_resamp.nii.gz,012/012_LA_ES_resamp_gt.nii.gz
013/013_LA_ED_resamp.nii.gz,013/013_LA_ED_resamp_gt.nii.gz
013/013_LA_ES_resamp.nii.gz,013/013_LA_ES_resamp_gt.nii.gz
014/014_LA_ED_resamp.nii.gz,014/014_LA_ED_resamp_gt.nii.gz
