image_filenames,label_filenames
images/124_D8.nii.gz,labels/124_D8.nii.gz
images/017_M1.nii.gz,labels/017_M1.nii.gz
images/182_M12.nii.gz,labels/182_M12.nii.gz
images/179_M12.nii.gz,labels/179_M12.nii.gz
images/213_M12.nii.gz,labels/213_M12.nii.gz
images/185_M12.nii.gz,labels/185_M12.nii.gz
images/080_M1.nii.gz,labels/080_M1.nii.gz
images/214_M1.nii.gz,labels/214_M1.nii.gz
images/156_M12.nii.gz,labels/156_M12.nii.gz
images/077_M1.nii.gz,labels/077_M1.nii.gz
images/214_M12.nii.gz,labels/214_M12.nii.gz
images/092_D8.nii.gz,labels/092_D8.nii.gz
images/101_D8.nii.gz,labels/101_D8.nii.gz
images/070_D8.nii.gz,labels/070_D8.nii.gz
images/275_M1.nii.gz,labels/275_M1.nii.gz
images/131_D8.nii.gz,labels/131_D8.nii.gz
images/262_M1.nii.gz,labels/262_M1.nii.gz
images/057_D8.nii.gz,labels/057_D8.nii.gz
images/034_M12.nii.gz,labels/034_M12.nii.gz
images/150_M12.nii.gz,labels/150_M12.nii.gz
images/194_M1.nii.gz,labels/194_M1.nii.gz
images/133_M1.nii.gz,labels/133_M1.nii.gz
images/288_M1.nii.gz,labels/288_M1.nii.gz
images/087_D8.nii.gz,labels/087_D8.nii.gz
images/172_M1.nii.gz,labels/172_M1.nii.gz
images/091_D8.nii.gz,labels/091_D8.nii.gz
images/102_D8.nii.gz,labels/102_D8.nii.gz
images/109_D8.nii.gz,labels/109_D8.nii.gz
images/290_M1.nii.gz,labels/290_M1.nii.gz
images/077_M12.nii.gz,labels/077_M12.nii.gz
images/157_M1.nii.gz,labels/157_M1.nii.gz
images/090_D8.nii.gz,labels/090_D8.nii.gz
images/231_M1.nii.gz,labels/231_M1.nii.gz
images/121_D8.nii.gz,labels/121_D8.nii.gz
images/119_M1.nii.gz,labels/119_M1.nii.gz
images/112_D8.nii.gz,labels/112_D8.nii.gz
images/074_M1.nii.gz,labels/074_M1.nii.gz
images/203_M12.nii.gz,labels/203_M12.nii.gz
images/100_D8.nii.gz,labels/100_D8.nii.gz
images/015_D8.nii.gz,labels/015_D8.nii.gz
images/128_M12.nii.gz,labels/128_M12.nii.gz
images/165_M1.nii.gz,labels/165_M1.nii.gz
images/092_M1.nii.gz,labels/092_M1.nii.gz
images/264_M1.nii.gz,labels/264_M1.nii.gz
images/025_M1.nii.gz,labels/025_M1.nii.gz
images/275_M12.nii.gz,labels/275_M12.nii.gz
images/205_M12.nii.gz,labels/205_M12.nii.gz
images/109_M1.nii.gz,labels/109_M1.nii.gz
images/144_M12.nii.gz,labels/144_M12.nii.gz
images/006_M1.nii.gz,labels/006_M1.nii.gz
images/256_M1.nii.gz,labels/256_M1.nii.gz
images/132_D8.nii.gz,labels/132_D8.nii.gz
images/016_M12.nii.gz,labels/016_M12.nii.gz
images/066_D8.nii.gz,labels/066_D8.nii.gz
images/183_M12.nii.gz,labels/183_M12.nii.gz
images/119_D8.nii.gz,labels/119_D8.nii.gz
images/117_M12.nii.gz,labels/117_M12.nii.gz
images/105_D8.nii.gz,labels/105_D8.nii.gz
images/083_M1.nii.gz,labels/083_M1.nii.gz
images/282_M1.nii.gz,labels/282_M1.nii.gz
images/201_M12.nii.gz,labels/201_M12.nii.gz
images/005_D8.nii.gz,labels/005_D8.nii.gz
images/211_M1.nii.gz,labels/211_M1.nii.gz
images/095_D8.nii.gz,labels/095_D8.nii.gz
images/149_M12.nii.gz,labels/149_M12.nii.gz
images/191_M12.nii.gz,labels/191_M12.nii.gz
images/217_M12.nii.gz,labels/217_M12.nii.gz
images/252_M1.nii.gz,labels/252_M1.nii.gz
images/273_M1.nii.gz,labels/273_M1.nii.gz
images/244_M1.nii.gz,labels/244_M1.nii.gz
images/092_M12.nii.gz,labels/092_M12.nii.gz
images/115_D8.nii.gz,labels/115_D8.nii.gz
images/145_M12.nii.gz,labels/145_M12.nii.gz
images/124_M1.nii.gz,labels/124_M1.nii.gz
images/005_M12.nii.gz,labels/005_M12.nii.gz
images/031_M1.nii.gz,labels/031_M1.nii.gz
images/225_M1.nii.gz,labels/225_M1.nii.gz
images/294_M1.nii.gz,labels/294_M1.nii.gz
images/071_M12.nii.gz,labels/071_M12.nii.gz
images/283_M1.nii.gz,labels/283_M1.nii.gz
images/120_D8.nii.gz,labels/120_D8.nii.gz
images/155_M1.nii.gz,labels/155_M1.nii.gz
images/188_M12.nii.gz,labels/188_M12.nii.gz
images/120_M1.nii.gz,labels/120_M1.nii.gz
images/080_M12.nii.gz,labels/080_M12.nii.gz
images/106_D8.nii.gz,labels/106_D8.nii.gz
images/053_D8.nii.gz,labels/053_D8.nii.gz
images/103_D8.nii.gz,labels/103_D8.nii.gz
images/124_M12.nii.gz,labels/124_M12.nii.gz
images/062_M12.nii.gz,labels/062_M12.nii.gz
images/042_M12.nii.gz,labels/042_M12.nii.gz
images/295_M1.nii.gz,labels/295_M1.nii.gz
images/278_M1.nii.gz,labels/278_M1.nii.gz
images/219_M1.nii.gz,labels/219_M1.nii.gz
images/216_M1.nii.gz,labels/216_M1.nii.gz
images/299_M1.nii.gz,labels/299_M1.nii.gz
images/126_M1.nii.gz,labels/126_M1.nii.gz
images/067_D8.nii.gz,labels/067_D8.nii.gz
images/193_M12.nii.gz,labels/193_M12.nii.gz
images/021_M12.nii.gz,labels/021_M12.nii.gz
images/145_M1.nii.gz,labels/145_M1.nii.gz
images/079_M12.nii.gz,labels/079_M12.nii.gz
images/197_M12.nii.gz,labels/197_M12.nii.gz
images/104_D8.nii.gz,labels/104_D8.nii.gz
images/118_M1.nii.gz,labels/118_M1.nii.gz
images/128_D8.nii.gz,labels/128_D8.nii.gz
images/217_M1.nii.gz,labels/217_M1.nii.gz
images/097_D8.nii.gz,labels/097_D8.nii.gz
images/004_M1.nii.gz,labels/004_M1.nii.gz
images/222_M1.nii.gz,labels/222_M1.nii.gz
images/128_M1.nii.gz,labels/128_M1.nii.gz
images/107_D8.nii.gz,labels/107_D8.nii.gz
images/010_M12.nii.gz,labels/010_M12.nii.gz
images/012_D8.nii.gz,labels/012_D8.nii.gz
images/077_D8.nii.gz,labels/077_D8.nii.gz
images/017_D8.nii.gz,labels/017_D8.nii.gz
images/112_M12.nii.gz,labels/112_M12.nii.gz
images/003_M12.nii.gz,labels/003_M12.nii.gz
images/117_D8.nii.gz,labels/117_D8.nii.gz
images/195_M1.nii.gz,labels/195_M1.nii.gz
images/064_M1.nii.gz,labels/064_M1.nii.gz
images/070_M12.nii.gz,labels/070_M12.nii.gz
images/015_M12.nii.gz,labels/015_M12.nii.gz
images/298_M1.nii.gz,labels/298_M1.nii.gz
images/248_M1.nii.gz,labels/248_M1.nii.gz
images/155_M12.nii.gz,labels/155_M12.nii.gz
images/037_M12.nii.gz,labels/037_M12.nii.gz
images/258_M1.nii.gz,labels/258_M1.nii.gz
images/163_M12.nii.gz,labels/163_M12.nii.gz
images/221_M1.nii.gz,labels/221_M1.nii.gz
images/062_M1.nii.gz,labels/062_M1.nii.gz
images/057_M12.nii.gz,labels/057_M12.nii.gz
images/075_M12.nii.gz,labels/075_M12.nii.gz
images/047_M12.nii.gz,labels/047_M12.nii.gz
images/066_M1.nii.gz,labels/066_M1.nii.gz
images/201_M1.nii.gz,labels/201_M1.nii.gz
images/191_M1.nii.gz,labels/191_M1.nii.gz
images/074_M12.nii.gz,labels/074_M12.nii.gz
images/241_M1.nii.gz,labels/241_M1.nii.gz
images/081_D8.nii.gz,labels/081_D8.nii.gz
images/125_D8.nii.gz,labels/125_D8.nii.gz
images/240_M1.nii.gz,labels/240_M1.nii.gz
images/011_D8.nii.gz,labels/011_D8.nii.gz
images/257_M1.nii.gz,labels/257_M1.nii.gz
images/216_M12.nii.gz,labels/216_M12.nii.gz
images/123_D8.nii.gz,labels/123_D8.nii.gz
images/165_M12.nii.gz,labels/165_M12.nii.gz
images/152_M1.nii.gz,labels/152_M1.nii.gz
images/121_M12.nii.gz,labels/121_M12.nii.gz
images/018_D8.nii.gz,labels/018_D8.nii.gz
images/036_M12.nii.gz,labels/036_M12.nii.gz
images/127_D8.nii.gz,labels/127_D8.nii.gz
images/113_M12.nii.gz,labels/113_M12.nii.gz
images/289_M1.nii.gz,labels/289_M1.nii.gz
images/060_M1.nii.gz,labels/060_M1.nii.gz
images/133_D8.nii.gz,labels/133_D8.nii.gz
images/225_M12.nii.gz,labels/225_M12.nii.gz
images/034_M1.nii.gz,labels/034_M1.nii.gz
images/012_M12.nii.gz,labels/012_M12.nii.gz
images/030_M12.nii.gz,labels/030_M12.nii.gz
images/003_D8.nii.gz,labels/003_D8.nii.gz
images/144_M1.nii.gz,labels/144_M1.nii.gz
images/071_D8.nii.gz,labels/071_D8.nii.gz
images/068_M12.nii.gz,labels/068_M12.nii.gz
images/187_M1.nii.gz,labels/187_M1.nii.gz
images/211_M12.nii.gz,labels/211_M12.nii.gz
images/059_M12.nii.gz,labels/059_M12.nii.gz
images/004_D8.nii.gz,labels/004_D8.nii.gz
images/167_M12.nii.gz,labels/167_M12.nii.gz
images/235_M1.nii.gz,labels/235_M1.nii.gz
images/006_M12.nii.gz,labels/006_M12.nii.gz
images/222_M12.nii.gz,labels/222_M12.nii.gz
images/091_M1.nii.gz,labels/091_M1.nii.gz
images/071_M1.nii.gz,labels/071_M1.nii.gz
images/246_M1.nii.gz,labels/246_M1.nii.gz
images/075_M1.nii.gz,labels/075_M1.nii.gz
images/250_M1.nii.gz,labels/250_M1.nii.gz
images/118_D8.nii.gz,labels/118_D8.nii.gz
images/279_M1.nii.gz,labels/279_M1.nii.gz
images/060_D8.nii.gz,labels/060_D8.nii.gz
images/062_D8.nii.gz,labels/062_D8.nii.gz
images/162_M1.nii.gz,labels/162_M1.nii.gz
images/143_M12.nii.gz,labels/143_M12.nii.gz
images/232_M1.nii.gz,labels/232_M1.nii.gz
images/086_M12.nii.gz,labels/086_M12.nii.gz
images/208_M1.nii.gz,labels/208_M1.nii.gz
images/122_D8.nii.gz,labels/122_D8.nii.gz
images/119_M12.nii.gz,labels/119_M12.nii.gz
images/099_D8.nii.gz,labels/099_D8.nii.gz
images/270_M1.nii.gz,labels/270_M1.nii.gz
images/065_M1.nii.gz,labels/065_M1.nii.gz
