image_filenames,label_filenames
001/001_SA_ED_resamp.nii.gz,001/001_SA_ED_resamp_gt.nii.gz
001/001_SA_ES_resamp.nii.gz,001/001_SA_ES_resamp_gt.nii.gz
002/002_SA_ED_resamp.nii.gz,002/002_SA_ED_resamp_gt.nii.gz
002/002_SA_ES_resamp.nii.gz,002/002_SA_ES_resamp_gt.nii.gz
003/003_SA_ED_resamp.nii.gz,003/003_SA_ED_resamp_gt.nii.gz
003/003_SA_ES_resamp.nii.gz,003/003_SA_ES_resamp_gt.nii.gz
004/004_SA_ED_resamp.nii.gz,004/004_SA_ED_resamp_gt.nii.gz
004/004_SA_ES_resamp.nii.gz,004/004_SA_ES_resamp_gt.nii.gz
005/005_SA_ED_resamp.nii.gz,005/005_SA_ED_resamp_gt.nii.gz
005/005_SA_ES_resamp.nii.gz,005/005_SA_ES_resamp_gt.nii.gz
006/006_SA_ED_resamp.nii.gz,006/006_SA_ED_resamp_gt.nii.gz
006/006_SA_ES_resamp.nii.gz,006/006_SA_ES_resamp_gt.nii.gz
007/007_SA_ED_resamp.nii.gz,007/007_SA_ED_resamp_gt.nii.gz
007/007_SA_ES_resamp.nii.gz,007/007_SA_ES_resamp_gt.nii.gz
008/008_SA_ED_resamp.nii.gz,008/008_SA_ED_resamp_gt.nii.gz
008/008_SA_ES_resamp.nii.gz,008/008_SA_ES_resamp_gt.nii.gz
009/009_SA_ED_resamp.nii.gz,009/009_SA_ED_resamp_gt.nii.gz
009/009_SA_ES_resamp.nii.gz,009/009_SA_ES_resamp_gt.nii.gz
010/010_SA_ED_resamp.nii.gz,010/010_SA_ED_resamp_gt.nii.gz
010/010_SA_ES_resamp.nii.gz,010/010_SA_ES_resamp_gt.nii.gz
011/011_SA_ED_resamp.nii.gz,011/011_SA_ED_resamp_gt.nii.gz
011/011_SA_ES_resamp.nii.gz,011/011_SA_ES_resamp_gt.nii.gz
012/012_SA_ED_resamp.nii.gz,012/012_SA_ED_resamp_gt.nii.gz
012/012_SA_ES_resamp.nii.gz,012/012_SA_ES_resamp_gt.nii.gz
013/013_SA_ED_resamp.nii.gz,013/013_SA_ED_resamp_gt.nii.gz
013/013_SA_ES_resamp.nii.gz,013/013_SA_ES_resamp_gt.nii.gz
014/014_SA_ED_resamp.nii.gz,014/014_SA_ED_resamp_gt.nii.gz
014/014_SA_ES_resamp.nii.gz,014/014_SA_ES_resamp_gt.nii.gz
015/015_SA_ED_resamp.nii.gz,015/015_SA_ED_resamp_gt.nii.gz
015/015_SA_ES_resamp.nii.gz,015/015_SA_ES_resamp_gt.nii.gz
016/016_SA_ED_resamp.nii.gz,016/016_SA_ED_resamp_gt.nii.gz
016/016_SA_ES_resamp.nii.gz,016/016_SA_ES_resamp_gt.nii.gz
017/017_SA_ED_resamp.nii.gz,017/017_SA_ED_resamp_gt.nii.gz
017/017_SA_ES_resamp.nii.gz,017/017_SA_ES_resamp_gt.nii.gz
018/018_SA_ED_resamp.nii.gz,018/018_SA_ED_resamp_gt.nii.gz
018/018_SA_ES_resamp.nii.gz,018/018_SA_ES_resamp_gt.nii.gz
019/019_SA_ED_resamp.nii.gz,019/019_SA_ED_resamp_gt.nii.gz
019/019_SA_ES_resamp.nii.gz,019/019_SA_ES_resamp_gt.nii.gz
020/020_SA_ED_resamp.nii.gz,020/020_SA_ED_resamp_gt.nii.gz
020/020_SA_ES_resamp.nii.gz,020/020_SA_ES_resamp_gt.nii.gz
021/021_SA_ED_resamp.nii.gz,021/021_SA_ED_resamp_gt.nii.gz
021/021_SA_ES_resamp.nii.gz,021/021_SA_ES_resamp_gt.nii.gz
022/022_SA_ED_resamp.nii.gz,022/022_SA_ED_resamp_gt.nii.gz
022/022_SA_ES_resamp.nii.gz,022/022_SA_ES_resamp_gt.nii.gz
023/023_SA_ED_resamp.nii.gz,023/023_SA_ED_resamp_gt.nii.gz
023/023_SA_ES_resamp.nii.gz,023/023_SA_ES_resamp_gt.nii.gz
024/024_SA_ED_resamp.nii.gz,024/024_SA_ED_resamp_gt.nii.gz
024/024_SA_ES_resamp.nii.gz,024/024_SA_ES_resamp_gt.nii.gz
025/025_SA_ED_resamp.nii.gz,025/025_SA_ED_resamp_gt.nii.gz
025/025_SA_ES_resamp.nii.gz,025/025_SA_ES_resamp_gt.nii.gz
026/026_SA_ED_resamp.nii.gz,026/026_SA_ED_resamp_gt.nii.gz
026/026_SA_ES_resamp.nii.gz,026/026_SA_ES_resamp_gt.nii.gz
027/027_SA_ED_resamp.nii.gz,027/027_SA_ED_resamp_gt.nii.gz
027/027_SA_ES_resamp.nii.gz,027/027_SA_ES_resamp_gt.nii.gz
028/028_SA_ED_resamp.nii.gz,028/028_SA_ED_resamp_gt.nii.gz
028/028_SA_ES_resamp.nii.gz,028/028_SA_ES_resamp_gt.nii.gz
029/029_SA_ED_resamp.nii.gz,029/029_SA_ED_resamp_gt.nii.gz
029/029_SA_ES_resamp.nii.gz,029/029_SA_ES_resamp_gt.nii.gz
030/030_SA_ED_resamp.nii.gz,030/030_SA_ED_resamp_gt.nii.gz
030/030_SA_ES_resamp.nii.gz,030/030_SA_ES_resamp_gt.nii.gz
031/031_SA_ED_resamp.nii.gz,031/031_SA_ED_resamp_gt.nii.gz
031/031_SA_ES_resamp.nii.gz,031/031_SA_ES_resamp_gt.nii.gz
032/032_SA_ED_resamp.nii.gz,032/032_SA_ED_resamp_gt.nii.gz
032/032_SA_ES_resamp.nii.gz,032/032_SA_ES_resamp_gt.nii.gz
033/033_SA_ED_resamp.nii.gz,033/033_SA_ED_resamp_gt.nii.gz
033/033_SA_ES_resamp.nii.gz,033/033_SA_ES_resamp_gt.nii.gz
034/034_SA_ED_resamp.nii.gz,034/034_SA_ED_resamp_gt.nii.gz
034/034_SA_ES_resamp.nii.gz,034/034_SA_ES_resamp_gt.nii.gz
035/035_SA_ED_resamp.nii.gz,035/035_SA_ED_resamp_gt.nii.gz
035/035_SA_ES_resamp.nii.gz,035/035_SA_ES_resamp_gt.nii.gz
036/036_SA_ED_resamp.nii.gz,036/036_SA_ED_resamp_gt.nii.gz
036/036_SA_ES_resamp.nii.gz,036/036_SA_ES_resamp_gt.nii.gz
037/037_SA_ED_resamp.nii.gz,037/037_SA_ED_resamp_gt.nii.gz
037/037_SA_ES_resamp.nii.gz,037/037_SA_ES_resamp_gt.nii.gz
038/038_SA_ED_resamp.nii.gz,038/038_SA_ED_resamp_gt.nii.gz
038/038_SA_ES_resamp.nii.gz,038/038_SA_ES_resamp_gt.nii.gz
039/039_SA_ED_resamp.nii.gz,039/039_SA_ED_resamp_gt.nii.gz
039/039_SA_ES_resamp.nii.gz,039/039_SA_ES_resamp_gt.nii.gz
040/040_SA_ED_resamp.nii.gz,040/040_SA_ED_resamp_gt.nii.gz
040/040_SA_ES_resamp.nii.gz,040/040_SA_ES_resamp_gt.nii.gz
041/041_SA_ED_resamp.nii.gz,041/041_SA_ED_resamp_gt.nii.gz
041/041_SA_ES_resamp.nii.gz,041/041_SA_ES_resamp_gt.nii.gz
042/042_SA_ED_resamp.nii.gz,042/042_SA_ED_resamp_gt.nii.gz
042/042_SA_ES_resamp.nii.gz,042/042_SA_ES_resamp_gt.nii.gz
043/043_SA_ED_resamp.nii.gz,043/043_SA_ED_resamp_gt.nii.gz
043/043_SA_ES_resamp.nii.gz,043/043_SA_ES_resamp_gt.nii.gz
044/044_SA_ED_resamp.nii.gz,044/044_SA_ED_resamp_gt.nii.gz
044/044_SA_ES_resamp.nii.gz,044/044_SA_ES_resamp_gt.nii.gz
045/045_SA_ED_resamp.nii.gz,045/045_SA_ED_resamp_gt.nii.gz
045/045_SA_ES_resamp.nii.gz,045/045_SA_ES_resamp_gt.nii.gz
046/046_SA_ED_resamp.nii.gz,046/046_SA_ED_resamp_gt.nii.gz
046/046_SA_ES_resamp.nii.gz,046/046_SA_ES_resamp_gt.nii.gz
047/047_SA_ED_resamp.nii.gz,047/047_SA_ED_resamp_gt.nii.gz
047/047_SA_ES_resamp.nii.gz,047/047_SA_ES_resamp_gt.nii.gz
048/048_SA_ED_resamp.nii.gz,048/048_SA_ED_resamp_gt.nii.gz
048/048_SA_ES_resamp.nii.gz,048/048_SA_ES_resamp_gt.nii.gz
049/049_SA_ED_resamp.nii.gz,049/049_SA_ED_resamp_gt.nii.gz
049/049_SA_ES_resamp.nii.gz,049/049_SA_ES_resamp_gt.nii.gz
050/050_SA_ED_resamp.nii.gz,050/050_SA_ED_resamp_gt.nii.gz
050/050_SA_ES_resamp.nii.gz,050/050_SA_ES_resamp_gt.nii.gz
051/051_SA_ED_resamp.nii.gz,051/051_SA_ED_resamp_gt.nii.gz
051/051_SA_ES_resamp.nii.gz,051/051_SA_ES_resamp_gt.nii.gz
052/052_SA_ED_resamp.nii.gz,052/052_SA_ED_resamp_gt.nii.gz
052/052_SA_ES_resamp.nii.gz,052/052_SA_ES_resamp_gt.nii.gz
053/053_SA_ED_resamp.nii.gz,053/053_SA_ED_resamp_gt.nii.gz
053/053_SA_ES_resamp.nii.gz,053/053_SA_ES_resamp_gt.nii.gz
054/054_SA_ED_resamp.nii.gz,054/054_SA_ED_resamp_gt.nii.gz
054/054_SA_ES_resamp.nii.gz,054/054_SA_ES_resamp_gt.nii.gz
055/055_SA_ED_resamp.nii.gz,055/055_SA_ED_resamp_gt.nii.gz
055/055_SA_ES_resamp.nii.gz,055/055_SA_ES_resamp_gt.nii.gz
056/056_SA_ED_resamp.nii.gz,056/056_SA_ED_resamp_gt.nii.gz
056/056_SA_ES_resamp.nii.gz,056/056_SA_ES_resamp_gt.nii.gz
057/057_SA_ED_resamp.nii.gz,057/057_SA_ED_resamp_gt.nii.gz
057/057_SA_ES_resamp.nii.gz,057/057_SA_ES_resamp_gt.nii.gz
058/058_SA_ED_resamp.nii.gz,058/058_SA_ED_resamp_gt.nii.gz
058/058_SA_ES_resamp.nii.gz,058/058_SA_ES_resamp_gt.nii.gz
059/059_SA_ED_resamp.nii.gz,059/059_SA_ED_resamp_gt.nii.gz
059/059_SA_ES_resamp.nii.gz,059/059_SA_ES_resamp_gt.nii.gz
060/060_SA_ED_resamp.nii.gz,060/060_SA_ED_resamp_gt.nii.gz
060/060_SA_ES_resamp.nii.gz,060/060_SA_ES_resamp_gt.nii.gz
061/061_SA_ED_resamp.nii.gz,061/061_SA_ED_resamp_gt.nii.gz
061/061_SA_ES_resamp.nii.gz,061/061_SA_ES_resamp_gt.nii.gz
062/062_SA_ED_resamp.nii.gz,062/062_SA_ED_resamp_gt.nii.gz
062/062_SA_ES_resamp.nii.gz,062/062_SA_ES_resamp_gt.nii.gz
063/063_SA_ED_resamp.nii.gz,063/063_SA_ED_resamp_gt.nii.gz
063/063_SA_ES_resamp.nii.gz,063/063_SA_ES_resamp_gt.nii.gz
064/064_SA_ED_resamp.nii.gz,064/064_SA_ED_resamp_gt.nii.gz
064/064_SA_ES_resamp.nii.gz,064/064_SA_ES_resamp_gt.nii.gz
065/065_SA_ED_resamp.nii.gz,065/065_SA_ED_resamp_gt.nii.gz
065/065_SA_ES_resamp.nii.gz,065/065_SA_ES_resamp_gt.nii.gz
066/066_SA_ED_resamp.nii.gz,066/066_SA_ED_resamp_gt.nii.gz
066/066_SA_ES_resamp.nii.gz,066/066_SA_ES_resamp_gt.nii.gz
067/067_SA_ED_resamp.nii.gz,067/067_SA_ED_resamp_gt.nii.gz
067/067_SA_ES_resamp.nii.gz,067/067_SA_ES_resamp_gt.nii.gz
068/068_SA_ED_resamp.nii.gz,068/068_SA_ED_resamp_gt.nii.gz
068/068_SA_ES_resamp.nii.gz,068/068_SA_ES_resamp_gt.nii.gz
069/069_SA_ED_resamp.nii.gz,069/069_SA_ED_resamp_gt.nii.gz
069/069_SA_ES_resamp.nii.gz,069/069_SA_ES_resamp_gt.nii.gz
070/070_SA_ED_resamp.nii.gz,070/070_SA_ED_resamp_gt.nii.gz
070/070_SA_ES_resamp.nii.gz,070/070_SA_ES_resamp_gt.nii.gz
071/071_SA_ED_resamp.nii.gz,071/071_SA_ED_resamp_gt.nii.gz
